               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12558,            0.032976,                   0,           0.0011111,                 0.2,            0.001357,          0.00023641,             0.12645,            0.029817,                   0,                   0,                   0,                 0.1
                   1,             0.12565,            0.037176,                   0,           0.0011111,                 0.2,           0.0010632,          0.00074425,             0.12848,            0.029757,                   0,            9.01e-05,            9.01e-05,             0.09909
                   2,             0.12489,            0.039557,                   0,           0.0011111,                 0.2,            0.001071,          0.00074971,             0.12855,            0.029734,                   0,           0.0001604,           0.0001604,             0.09816
                   3,             0.12398,            0.037472,                   0,           0.0011111,                 0.2,           0.0010852,          0.00075963,             0.12857,            0.029654,                   0,           0.0002109,           0.0002109,            0.097211
                   4,             0.12151,            0.037157,                   0,           0.0011111,                 0.2,           0.0012269,          0.00085882,             0.12893,            0.029537,                   0,           0.0002416,           0.0002416,            0.096242
                   5,             0.11883,             0.04605,                   0,           0.0011111,                 0.2,           0.0012693,          0.00088853,             0.12867,             0.02952,                   0,           0.0002525,           0.0002525,            0.095253
                   6,             0.12489,            0.035362,                   0,           0.0011111,                 0.2,           0.0014106,          0.00098741,             0.12843,            0.029461,                   0,           0.0002436,           0.0002436,            0.094244
                   7,             0.12003,            0.046923,                   0,           0.0011111,                 0.2,           0.0014106,          0.00098741,             0.12792,            0.029449,                   0,           0.0002149,           0.0002149,            0.093215
                   8,             0.12064,            0.045874,                   0,           0.0011111,                 0.2,           0.0015156,           0.0010609,             0.12757,            0.029421,                   0,           0.0001664,           0.0001664,            0.092166
                   9,             0.11881,            0.043884,                   0,           0.0011111,                 0.2,           0.0016842,           0.0011789,             0.12699,            0.029448,                   0,            9.81e-05,            9.81e-05,            0.091098
